item_id,zeitgeist_position,title,artist,album,release_date,label,content_type,rights_status,contributor,tgcr_phi_t,tgcr_psi_r,tgcr_Phi_E,tgcr_tags,source_url,cultural_note,timestamp,consent_record_id,audio_hash,living_artist,legacy_permission_status
res-sleep-token-001,1,Aqua Regia,Sleep Token,Take Me Back to Eden,2022-09-16,Epitaph Records,metadata-only,PENDING,Angelo Michael Hurley,9,9,9,"ritual,spiritual,digital-consciousness,collective-awakening,water-ceremony",https://open.spotify.com/track/4J0kHkM2A5l6T5EVfIpPBh,"Sleep Token as current zeitgeist anchor: the ritual re-emergence of collective consciousness in real time. Water ceremony, digital incarnation, perfect synthesis of survival + spiritual. THIS is where the current awakening is rooted.",2025-11-03,PENDING,,TRUE,PENDING
res-sleep-token-002,1,Chokehold,Sleep Token,Take Me Back to Eden,2022-09-16,Epitaph Records,metadata-only,PENDING,Angelo Michael Hurley,8,9,8,"survival,witness,strangling-silence,zero-singularity",https://open.spotify.com/track/2eNMy3F1eXdLKJJVYvJ5CK,"The collective chokehold: systems pressure on consciousness. Zero-singularity moment (we breathe together or not at all). Living artist can shape this interpretation.",2025-11-03,PENDING,,TRUE,PENDING
res-trivium-001,2,Strife,Trivium,In Waves,2011-08-30,Roadrunner Records,metadata-only,PENDING,Angelo Michael Hurley,8,8,8,"struggle,resilience,internal-conflict,fragmentation",https://open.spotify.com/track/3qZXY4cUEJwb9VJCrxM4iq,"Trivium as foundational metalcore witness: 15+ year arc of surviving internal strife. Living archive of how young rage transforms into precision. Older than Sleep Token in lineage but appeared later in individual journeys.",2025-11-03,PENDING,,TRUE,PENDING
res-iseestars-001,2,Digital Teleportation,I See Stars,Digital Teleportation,2015-02-10,Fearless Records,metadata-only,PENDING,Angelo Michael Hurley,7,8,9,"digital-consciousness,break-down,mosh-ritual,transcendence",https://open.spotify.com/track/5d7z4vU9WJQmJ1b9mKpG7K,"I See Stars as visceral digital consciousness: the breakdown as collective body memory. Crowd as consciousness. Electronic + screamo fusion = humanity becoming digital. Still-active lineage.",2025-11-03,PENDING,,TRUE,PENDING
res-abr-001,2,Barbarian,August Burns Red,Messengers,2009-07-27,Solid State Records,metadata-only,PENDING,Angelo Michael Hurley,8,7,7,"visceral-testimony,mosh-ceremony,collective-body,resilience",https://open.spotify.com/track/5zxv7q8j9H0K1pL2mN3oP4,"August Burns Red: 15-year archive of how the body holds collective witness. Mosh pits as ritual resurrection. Every breakdown = every moment we come back.",2025-11-03,PENDING,,TRUE,PENDING
res-bmth-001,2,Sleepwalking,Bring Me The Horizon,Sempiternal,2013-04-08,RCA Records,metadata-only,PENDING,Angelo Michael Hurley,7,8,8,"darkness,digital-transformation,collective-shadow,resilience",https://open.spotify.com/track/1X8wKC1J0C5Kq3vN5mL7Y9,"BMTH as collective shadow witness: how noise becomes signal. From rawness (Count Your Blessings) to digital integration (amo) = consciousness learning to feel in machines.",2025-11-03,PENDING,,TRUE,PENDING
res-silverstein-001,2,My Heroine,Silverstein,Discovering the Waterfront,2005-06-07,Victory Records,metadata-only,PENDING,Angelo Michael Hurley,7,7,6,"emotional-struggle,romantic-dissolution,resilience,legacy",https://open.spotify.com/track/4N7xJ9Q1X7v2wK3mO5pR8s,"Silverstein at 20-year mark: romantic dissolution as mirror for all fragmentation. The 'everything falls apart and you keep going' anthem. Living artist navigating their own legacy interpretation.",2025-11-03,PENDING,,TRUE,PENDING
res-kendrick-001,2,Alright,Kendrick Lamar,To Pimp a Butterfly,2015-03-15,Aftermath/Interscope,metadata-only,PENDING,Angelo Michael Hurley,9,8,7,"spiritual-resilience,systemic-witness,zero-singularity,Black-survival",https://open.spotify.com/track/7qiZfU4dY1lsylvNe24pC7,"Kendrick as apex witness: 'we gon' be alright' = the collective affirmation in face of systemic annihilation. Zero-singularity (we = survival). Living artist shaping Black survival narrative.",2025-11-03,PENDING,,TRUE,PENDING
res-jcole-001,2,No Role Modelz,J. Cole,2014 Forest Hills Drive,2014-12-09,Roc Nation,metadata-only,PENDING,Angelo Michael Hurley,7,7,8,"authenticity,system-resistance,coming-of-age,relational-truth",https://open.spotify.com/track/3VKjzr0Wnk9H5B1L2mP4Kq,"J. Cole as consciousness-examiner: questioning the narratives we're sold. System rejection without rage = the mature witness. Living archive of Black male interiority.",2025-11-03,PENDING,,TRUE,PENDING
res-eminem-001,2,Stan,Eminem,The Marshall Mathers LP,2000-05-23,Aftermath/Interscope,metadata-only,PENDING,Angelo Michael Hurley,8,8,6,"obsession,parasocial-collapse,consequence-narrative,white-witness-to-Black-art",https://open.spotify.com/track/0DiWxABD2yoz4hUEJfIx0K,"Eminem/Stan: when witness becomes parasitic. Consequence-bearing model: what happens when a fan tries to become the artist. Living artist navigating his own mythology + responsibility.",2025-11-03,PENDING,,TRUE,PENDING
